policy,delay_ms,interval_ms,intended_ms,snapshot_ms,blocked
DELAY,0,1000,83,83,0
DELAY,0,1000,1090,1090,1
DELAY,0,1000,2094,2094,0
DELAY,0,1000,3098,3098,0
DELAY,0,1000,4101,4101,0
DELAY,0,1000,5106,5106,1
DELAY,0,1000,6112,6112,0
DELAY,0,1000,7118,7118,0
DELAY,0,1000,8124,8124,0
DELAY,0,1000,9243,9243,1
DELAY,0,1000,10250,10250,0
DELAY,0,1000,11257,11257,0
DELAY,0,1000,12261,12263,0
DELAY,0,1000,13289,13289,1
DELAY,0,1000,14295,14296,0
DELAY,0,1000,15303,15304,0
DELAY,0,1000,16307,16307,0
DELAY,0,1000,17311,17311,1
DELAY,0,1000,18313,18313,0
DELAY,0,1000,19318,19318,0
DELAY,0,1000,20327,20328,0
DELAY,0,1000,21347,21393,1
DELAY,0,1000,22483,22483,0
DELAY,0,1000,23496,23496,0
DELAY,0,1000,24499,24499,0
DELAY,0,1000,25507,25507,1
DELAY,0,1000,26518,26518,0
DELAY,0,1000,27524,27524,0
DELAY,0,1000,28530,28530,1
DELAY,0,1000,29535,29536,1
DELAY,0,1000,30560,30560,0
DELAY,0,1000,31573,31573,0
DELAY,0,1000,32583,32583,1
DELAY,0,1000,33594,33595,1
DELAY,0,1000,34610,34610,0
DELAY,0,1000,35621,35621,0
DELAY,0,1000,36625,36625,1
DELAY,0,1000,37634,37634,1
DELAY,0,1000,38643,38643,0
DELAY,0,1000,39648,39649,0
QUEUE,0,1000,0,42,0
QUEUE,0,1000,1000,1001,1
QUEUE,0,1000,2000,2002,1
QUEUE,0,1000,3000,3002,0
QUEUE,0,1000,4000,4002,0
QUEUE,0,1000,5000,5000,1
QUEUE,0,1000,6000,6003,1
QUEUE,0,1000,7000,7001,0
QUEUE,0,1000,8000,8001,0
QUEUE,0,1000,9000,9001,1
QUEUE,0,1000,10000,10020,0
QUEUE,0,1000,11000,11001,0
QUEUE,0,1000,12000,12002,0
QUEUE,0,1000,13000,13002,1
QUEUE,0,1000,14000,14004,1
QUEUE,0,1000,15000,15002,0
QUEUE,0,1000,16000,16004,0
QUEUE,0,1000,17000,17006,1
QUEUE,0,1000,18000,18001,1
QUEUE,0,1000,19000,19010,0
QUEUE,0,1000,20000,20003,0
QUEUE,0,1000,21000,21001,1
QUEUE,0,1000,22000,22001,1
QUEUE,0,1000,23000,23001,0
QUEUE,0,1000,24000,24001,0
QUEUE,0,1000,25000,25002,1
QUEUE,0,1000,26000,26000,1
QUEUE,0,1000,27000,27002,0
QUEUE,0,1000,28000,28001,0
QUEUE,0,1000,29000,29001,1
QUEUE,0,1000,30000,30000,1
QUEUE,0,1000,31000,31003,0
QUEUE,0,1000,32000,32001,0
QUEUE,0,1000,33000,33002,1
QUEUE,0,1000,34000,34002,1
QUEUE,0,1000,35000,35003,0
QUEUE,0,1000,36000,36001,0
QUEUE,0,1000,37000,37002,1
QUEUE,0,1000,38000,38003,1
QUEUE,0,1000,39000,39005,0
PARALLEL,0,1000,0,38,0
PARALLEL,0,1000,1000,1018,1
PARALLEL,0,1000,2000,2021,0
PARALLEL,0,1000,3000,3047,0
PARALLEL,0,1000,4000,4035,0
PARALLEL,0,1000,5000,5038,1
PARALLEL,0,1000,6000,6058,0
PARALLEL,0,1000,7000,7016,0
PARALLEL,0,1000,8000,8040,0
PARALLEL,0,1000,9000,9021,1
PARALLEL,0,1000,10000,10020,0
PARALLEL,0,1000,11000,11020,0
PARALLEL,0,1000,12000,12017,0
PARALLEL,0,1000,13000,13028,1
PARALLEL,0,1000,14000,14015,0
PARALLEL,0,1000,15000,15027,0
PARALLEL,0,1000,16000,16016,0
PARALLEL,0,1000,17000,17017,1
PARALLEL,0,1000,18000,18017,1
PARALLEL,0,1000,19000,19013,0
PARALLEL,0,1000,20000,20017,0
PARALLEL,0,1000,21000,21014,1
PARALLEL,0,1000,22000,22017,0
PARALLEL,0,1000,23000,23037,0
PARALLEL,0,1000,24000,24010,0
PARALLEL,0,1000,25000,25011,1
PARALLEL,0,1000,26000,26026,0
PARALLEL,0,1000,27000,27059,0
PARALLEL,0,1000,28000,28066,0
PARALLEL,0,1000,29000,29016,1
PARALLEL,0,1000,30000,30022,0
PARALLEL,0,1000,31000,31014,0
PARALLEL,0,1000,32000,32115,0
PARALLEL,0,1000,33000,33043,1
PARALLEL,0,1000,34000,34026,0
PARALLEL,0,1000,35000,35021,0
PARALLEL,0,1000,36000,36024,0
PARALLEL,0,1000,37000,37032,1
PARALLEL,0,1000,38000,38103,0
PARALLEL,0,1000,39000,39034,0
DELAY,2000,1000,39,2040,0
DELAY,2000,1000,3093,5096,1
DELAY,2000,1000,6114,8119,0
DELAY,2000,1000,9128,11130,0
DELAY,2000,1000,12138,14143,0
DELAY,2000,1000,15152,17154,1
DELAY,2000,1000,18166,20167,0
DELAY,2000,1000,21188,23194,0
DELAY,2000,1000,24202,26203,0
DELAY,2000,1000,27214,29216,1
DELAY,2000,1000,30245,32248,0
DELAY,2000,1000,33260,35263,0
DELAY,2000,1000,36269,38274,0
DELAY,2000,1000,39285,41287,0
QUEUE,2000,1000,0,2052,0
QUEUE,2000,1000,1000,4075,0
QUEUE,2000,1000,2000,6094,0
QUEUE,2000,1000,3000,8269,0
QUEUE,2000,1000,4000,10288,0
QUEUE,2000,1000,5000,12302,0
QUEUE,2000,1000,6000,14317,0
QUEUE,2000,1000,7000,16327,0
QUEUE,2000,1000,8000,18344,0
QUEUE,2000,1000,9000,20359,0
QUEUE,2000,1000,10000,22369,0
QUEUE,2000,1000,11000,24377,0
QUEUE,2000,1000,12000,26390,0
QUEUE,2000,1000,13000,28404,0
QUEUE,2000,1000,14000,30414,0
QUEUE,2000,1000,15000,32427,0
QUEUE,2000,1000,16000,34436,0
QUEUE,2000,1000,17000,36460,0
QUEUE,2000,1000,18000,38616,0
QUEUE,2000,1000,19000,40628,0
QUEUE,2000,1000,20000,42644,0
