measurement,dbms,index_variant,kind,k,phase,run,lock_hold_ms,statement_ms,commit_ms,affected_rows,probe,wait_ms,remaining_hold_ms,outcome,outcome_detail,departed_before_commit,error
"lock_hold","MySQL","indexed","UPDATE","10","warmup","1","19.319","2.505","2.422","10","","","","","","",""
"lock_hold","MySQL","indexed","UPDATE","10","warmup","2","8.550","2.522","2.112","10","","","","","","",""
"lock_hold","MySQL","indexed","UPDATE","10","measured","3","5.368","1.238","1.723","10","","","","","","",""
"lock_hold","MySQL","indexed","UPDATE","10","measured","4","5.429","1.296","1.678","10","","","","","","",""
"lock_hold","MySQL","indexed","UPDATE","10","measured","5","5.003","1.270","1.281","10","","","","","","",""
"lock_hold","MySQL","indexed","UPDATE","10","measured","6","4.913","1.226","1.383","10","","","","","","",""
"lock_hold","MySQL","indexed","UPDATE","10","measured","7","7.251","1.214","3.697","10","","","","","","",""
"lock_hold","MySQL","indexed","UPDATE","10","measured","8","4.649","1.269","1.171","10","","","","","","",""
"lock_hold","MySQL","indexed","UPDATE","10","measured","9","5.313","1.256","1.714","10","","","","","","",""
"lock_hold","MySQL","indexed","UNCAPTURED","10","warmup","1","2.840","1.288","1.405","10","","","","","","",""
"lock_hold","MySQL","indexed","UNCAPTURED","10","warmup","2","2.267","1.055","1.189","10","","","","","","",""
"lock_hold","MySQL","indexed","UNCAPTURED","10","measured","3","2.958","1.469","1.460","10","","","","","","",""
"lock_hold","MySQL","indexed","UNCAPTURED","10","measured","4","2.980","1.303","1.655","10","","","","","","",""
"lock_hold","MySQL","indexed","UNCAPTURED","10","measured","5","2.576","1.156","1.390","10","","","","","","",""
"lock_hold","MySQL","indexed","UNCAPTURED","10","measured","6","2.994","1.314","1.636","10","","","","","","",""
"lock_hold","MySQL","indexed","UNCAPTURED","10","measured","7","2.625","1.323","1.279","10","","","","","","",""
"lock_hold","MySQL","indexed","UNCAPTURED","10","measured","8","2.770","1.357","1.393","10","","","","","","",""
"lock_hold","MySQL","indexed","UNCAPTURED","10","measured","9","2.764","1.318","1.414","10","","","","","","",""
"lock_hold","MySQL","indexed","UPDATE","100","warmup","1","8.570","1.194","3.314","100","","","","","","",""
"lock_hold","MySQL","indexed","UPDATE","100","warmup","2","6.781","1.324","1.618","100","","","","","","",""
"lock_hold","MySQL","indexed","UPDATE","100","measured","3","6.764","1.249","1.460","100","","","","","","",""
"lock_hold","MySQL","indexed","UPDATE","100","measured","4","6.316","1.220","1.506","100","","","","","","",""
"lock_hold","MySQL","indexed","UPDATE","100","measured","5","5.688","1.169","1.064","100","","","","","","",""
"lock_hold","MySQL","indexed","UPDATE","100","measured","6","6.452","1.434","1.745","100","","","","","","",""
"lock_hold","MySQL","indexed","UPDATE","100","measured","7","5.907","1.287","1.254","100","","","","","","",""
"lock_hold","MySQL","indexed","UPDATE","100","measured","8","21.443","1.390","16.488","100","","","","","","",""
"lock_hold","MySQL","indexed","UPDATE","100","measured","9","5.996","1.386","1.273","100","","","","","","",""
"lock_hold","MySQL","indexed","UNCAPTURED","100","warmup","1","6.641","1.704","4.912","100","","","","","","",""
"lock_hold","MySQL","indexed","UNCAPTURED","100","warmup","2","3.745","1.879","1.834","100","","","","","","",""
"lock_hold","MySQL","indexed","UNCAPTURED","100","measured","3","3.183","1.688","1.475","100","","","","","","",""
"lock_hold","MySQL","indexed","UNCAPTURED","100","measured","4","3.661","1.952","1.676","100","","","","","","",""
"lock_hold","MySQL","indexed","UNCAPTURED","100","measured","5","3.855","2.047","1.782","100","","","","","","",""
"lock_hold","MySQL","indexed","UNCAPTURED","100","measured","6","4.352","1.857","2.472","100","","","","","","",""
"lock_hold","MySQL","indexed","UNCAPTURED","100","measured","7","3.310","1.761","1.523","100","","","","","","",""
"lock_hold","MySQL","indexed","UNCAPTURED","100","measured","8","3.390","1.698","1.661","100","","","","","","",""
"lock_hold","MySQL","indexed","UNCAPTURED","100","measured","9","3.345","1.850","1.474","100","","","","","","",""
