dbms,writer_pause_ms,mode,k,run,lock_hold_ms,total_ms,stale_rows,committed,abort_with_version,abort_without_version,writer_commits,writer_p50_ms,writer_p95_ms,writer_max_ms
MySQL,0,PESSIMISTIC,1000,3,31.38,43.01,0,true,false,false,44,5.98,11.42,34.47
MySQL,0,PESSIMISTIC,1000,4,14.22,24.39,0,true,false,false,124,1.75,2.83,15.25
MySQL,0,PESSIMISTIC,1000,5,14.10,23.85,0,true,false,false,139,1.64,2.54,13.42
MySQL,0,PESSIMISTIC,1000,6,13.31,22.48,0,true,false,false,148,1.52,2.57,13.42
MySQL,0,PESSIMISTIC,1000,7,12.36,21.12,0,true,false,false,151,1.38,2.51,12.86
MySQL,0,PESSIMISTIC,1000,8,13.00,22.38,0,true,false,false,159,1.40,2.09,15.49
MySQL,0,PESSIMISTIC,1000,9,14.25,23.17,0,true,false,false,165,1.34,1.67,14.31
MySQL,0,OPTIMISTIC,1000,3,13.06,23.95,6,false,true,true,174,1.36,1.85,11.28
MySQL,0,OPTIMISTIC,1000,4,13.69,24.53,6,false,true,true,164,1.40,1.86,11.79
MySQL,0,OPTIMISTIC,1000,5,13.33,23.51,5,false,true,true,169,1.32,1.85,13.48
MySQL,0,OPTIMISTIC,1000,6,13.95,24.88,8,false,true,true,170,1.34,1.68,12.82
MySQL,0,OPTIMISTIC,1000,7,17.18,29.22,8,false,true,true,154,1.52,2.28,11.91
MySQL,0,OPTIMISTIC,1000,8,14.16,24.40,3,false,true,true,179,1.27,1.83,11.60
MySQL,0,OPTIMISTIC,1000,9,13.39,23.90,4,false,true,true,162,1.31,2.14,12.79
MySQL,0,UNCAPTURED,1000,3,5.59,14.52,0,true,false,false,149,1.38,1.96,9.65
MySQL,0,UNCAPTURED,1000,4,7.92,16.32,0,true,false,false,174,1.34,1.93,4.63
MySQL,0,UNCAPTURED,1000,5,9.48,18.16,0,true,false,false,74,2.64,6.55,8.36
MySQL,0,UNCAPTURED,1000,6,9.35,17.40,0,true,false,false,177,1.26,1.58,8.89
MySQL,0,UNCAPTURED,1000,7,6.36,14.84,0,true,false,false,182,1.28,1.62,4.58
MySQL,0,UNCAPTURED,1000,8,6.24,16.04,0,true,false,false,173,1.27,1.68,5.63
MySQL,0,UNCAPTURED,1000,9,5.93,14.81,0,true,false,false,179,1.26,1.74,4.27
MySQL,0,PESSIMISTIC,10000,3,75.23,83.13,0,true,false,false,167,1.34,1.68,74.61
MySQL,0,PESSIMISTIC,10000,4,76.72,84.78,0,true,false,false,175,1.25,1.61,76.24
MySQL,0,PESSIMISTIC,10000,5,72.84,81.05,0,true,false,false,168,1.36,1.79,73.07
MySQL,0,PESSIMISTIC,10000,6,73.49,81.45,0,true,false,false,158,1.45,1.84,74.55
MySQL,0,PESSIMISTIC,10000,7,74.70,82.63,0,true,false,false,184,1.31,1.75,70.72
MySQL,0,PESSIMISTIC,10000,8,78.80,86.26,0,true,false,false,167,1.30,1.66,79.00
MySQL,0,PESSIMISTIC,10000,9,82.22,91.65,0,true,false,false,160,1.31,2.23,79.53
MySQL,0,OPTIMISTIC,10000,3,97.86,112.31,22,false,true,true,182,1.37,1.88,92.96
MySQL,0,OPTIMISTIC,10000,4,100.55,118.82,27,false,true,true,200,1.33,1.83,89.34
MySQL,0,OPTIMISTIC,10000,5,96.00,111.92,19,false,true,true,184,1.32,2.28,86.93
MySQL,0,OPTIMISTIC,10000,6,97.77,114.93,11,false,true,true,179,1.34,2.24,93.39
MySQL,0,OPTIMISTIC,10000,7,96.32,111.05,18,false,true,true,184,1.35,1.84,91.66
MySQL,0,OPTIMISTIC,10000,8,105.41,125.02,23,false,true,true,201,1.33,1.79,100.26
MySQL,0,OPTIMISTIC,10000,9,96.90,111.42,21,false,true,true,190,1.29,1.72,88.59
MySQL,0,UNCAPTURED,10000,3,45.62,53.67,0,true,false,false,142,1.54,2.54,40.70
MySQL,0,UNCAPTURED,10000,4,34.20,41.69,0,true,false,false,190,1.25,1.68,32.11
MySQL,0,UNCAPTURED,10000,5,36.18,43.96,0,true,false,false,185,1.36,2.18,24.67
MySQL,0,UNCAPTURED,10000,6,35.10,45.83,0,true,false,false,195,1.31,1.97,25.81
MySQL,0,UNCAPTURED,10000,7,34.44,44.08,0,true,false,false,154,1.35,5.88,32.14
MySQL,0,UNCAPTURED,10000,8,34.62,42.99,0,true,false,false,176,1.30,1.99,30.21
MySQL,0,UNCAPTURED,10000,9,35.05,46.06,0,true,false,false,154,1.55,2.10,29.75
MySQL,50,PESSIMISTIC,1000,3,22.32,41.46,0,true,false,false,5,3.96,7.92,7.92
MySQL,50,PESSIMISTIC,1000,4,28.36,48.44,0,true,false,false,6,6.08,7.17,7.17
MySQL,50,PESSIMISTIC,1000,5,26.49,51.93,0,true,false,false,6,7.40,9.48,9.48
MySQL,50,PESSIMISTIC,1000,6,14.17,25.89,0,true,false,false,4,2.71,3.64,3.64
MySQL,50,PESSIMISTIC,1000,7,19.30,36.59,0,true,false,false,4,7.27,8.93,8.93
MySQL,50,PESSIMISTIC,1000,8,27.20,45.56,0,true,false,false,4,2.70,7.97,7.97
MySQL,50,PESSIMISTIC,1000,9,27.68,45.70,0,true,false,false,6,4.86,6.22,6.22
MySQL,50,OPTIMISTIC,1000,3,19.54,42.88,0,true,false,false,5,3.15,8.65,8.65
MySQL,50,OPTIMISTIC,1000,4,17.80,43.31,0,true,false,false,4,2.40,6.33,6.33
MySQL,50,OPTIMISTIC,1000,5,25.85,54.66,0,true,false,false,6,7.67,9.21,9.21
MySQL,50,OPTIMISTIC,1000,6,21.15,42.42,0,true,false,false,4,3.07,11.20,11.20
MySQL,50,OPTIMISTIC,1000,7,21.77,49.35,0,true,false,false,4,4.05,6.87,6.87
MySQL,50,OPTIMISTIC,1000,8,21.09,44.11,0,true,false,false,4,3.80,6.52,6.52
MySQL,50,OPTIMISTIC,1000,9,15.34,48.67,0,true,false,false,5,3.31,5.38,5.38
MySQL,50,UNCAPTURED,1000,3,17.57,33.20,0,true,false,false,4,4.43,7.98,7.98
MySQL,50,UNCAPTURED,1000,4,14.28,30.67,0,true,false,false,6,5.70,8.42,8.42
MySQL,50,UNCAPTURED,1000,5,13.70,40.43,0,true,false,false,6,7.72,14.72,14.72
MySQL,50,UNCAPTURED,1000,6,10.01,29.47,0,true,false,false,5,2.92,6.23,6.23
MySQL,50,UNCAPTURED,1000,7,10.26,26.07,0,true,false,false,4,3.74,6.85,6.85
MySQL,50,UNCAPTURED,1000,8,15.51,35.76,0,true,false,false,4,3.73,8.74,8.74
MySQL,50,UNCAPTURED,1000,9,28.72,49.44,0,true,false,false,5,4.32,5.74,5.74
MySQL,50,PESSIMISTIC,10000,3,87.03,97.42,0,true,false,false,4,2.96,75.24,75.24
MySQL,50,PESSIMISTIC,10000,4,94.92,109.55,0,true,false,false,4,3.34,56.76,56.76
MySQL,50,PESSIMISTIC,10000,5,107.89,128.65,0,true,false,false,4,2.94,94.80,94.80
MySQL,50,PESSIMISTIC,10000,6,104.39,127.99,0,true,false,false,4,2.96,100.14,100.14
MySQL,50,PESSIMISTIC,10000,7,103.56,125.08,0,true,false,false,4,3.03,94.93,94.93
MySQL,50,PESSIMISTIC,10000,8,93.74,119.55,0,true,false,false,6,3.54,35.40,35.40
MySQL,50,PESSIMISTIC,10000,9,87.86,120.77,0,true,false,false,4,2.30,86.55,86.55
MySQL,50,OPTIMISTIC,10000,3,140.00,178.13,3,false,true,true,7,4.51,75.92,75.92
MySQL,50,OPTIMISTIC,10000,4,100.89,116.64,2,false,true,true,6,1.97,28.93,28.93
MySQL,50,OPTIMISTIC,10000,5,77.04,104.59,0,true,false,false,4,3.97,56.38,56.38
MySQL,50,OPTIMISTIC,10000,6,123.33,168.59,2,false,true,true,6,7.83,75.21,75.21
MySQL,50,OPTIMISTIC,10000,7,115.08,146.81,2,false,true,true,6,3.08,59.29,59.29
MySQL,50,OPTIMISTIC,10000,8,111.70,137.93,2,false,true,true,6,2.70,44.10,44.10
MySQL,50,OPTIMISTIC,10000,9,119.94,149.51,2,false,true,true,6,2.79,52.79,52.79
MySQL,50,UNCAPTURED,10000,3,41.74,61.15,0,true,false,false,5,2.33,24.50,24.50
MySQL,50,UNCAPTURED,10000,4,44.32,60.53,0,true,false,false,4,2.91,15.56,15.56
MySQL,50,UNCAPTURED,10000,5,41.93,58.55,0,true,false,false,6,2.50,18.95,18.95
MySQL,50,UNCAPTURED,10000,6,34.00,42.46,0,true,false,false,5,1.91,18.85,18.85
MySQL,50,UNCAPTURED,10000,7,53.65,73.50,0,true,false,false,6,3.02,3.57,3.57
MySQL,50,UNCAPTURED,10000,8,42.80,54.95,0,true,false,false,5,2.24,9.14,9.14
MySQL,50,UNCAPTURED,10000,9,54.63,76.17,0,true,false,false,6,1.89,4.34,4.34
PostgreSQL,0,PESSIMISTIC,1000,3,11.33,17.22,0,true,false,false,235,0.91,1.34,10.32
PostgreSQL,0,PESSIMISTIC,1000,4,11.02,16.98,0,true,false,false,239,0.88,1.25,9.01
PostgreSQL,0,PESSIMISTIC,1000,5,10.15,16.13,0,true,false,false,284,0.79,0.98,9.59
PostgreSQL,0,PESSIMISTIC,1000,6,9.03,14.91,0,true,false,false,267,0.80,0.95,7.74
PostgreSQL,0,PESSIMISTIC,1000,7,13.71,19.84,0,true,false,false,274,0.79,0.99,13.39
PostgreSQL,0,PESSIMISTIC,1000,8,8.79,14.62,0,true,false,false,285,0.79,0.94,6.98
PostgreSQL,0,PESSIMISTIC,1000,9,7.11,13.01,0,true,false,false,262,0.86,1.05,6.77
PostgreSQL,0,OPTIMISTIC,1000,3,4.93,12.33,6,false,true,true,271,0.81,1.00,5.05
PostgreSQL,0,OPTIMISTIC,1000,4,4.99,12.41,6,false,true,true,284,0.79,0.93,4.51
PostgreSQL,0,OPTIMISTIC,1000,5,5.46,12.88,5,false,true,true,298,0.78,0.91,5.20
PostgreSQL,0,OPTIMISTIC,1000,6,4.82,12.12,5,false,true,true,271,0.80,0.98,5.61
